TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
2.477,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.491,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.507,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.523,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.541,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.555,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.571,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.587,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.604,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.619,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.635,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.651,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.667,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.683,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.699,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.717,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.731,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.747,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.763,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.781,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.795,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.811,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.827,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.846,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.859,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.875,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.891,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.909,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.923,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.939,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.955,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.973,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
2.987,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.004,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.020,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.038,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.052,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.068,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.086,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.100,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.116,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.132,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.149,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.164,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.180,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.196,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.213,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.228,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.244,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.260,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.279,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.292,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.308,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.327,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.340,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.356,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.372,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.391,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.404,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.421,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
