TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
1.105,0.000,0.000,18.000,0.000,0.000,0.000,0.000,21.824,99.127
1.111,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.126,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.145,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.160,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.176,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.191,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.210,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.223,0.000,0.000,18.000,0.000,0.000,1.471,0.000,21.094,99.127
1.240,39.682,-75.757,18.000,0.016,0.245,1.471,0.000,20.711,99.127
1.256,0.000,0.000,18.000,0.016,0.245,1.471,0.000,20.711,99.127
1.275,0.000,0.000,18.000,0.016,0.245,1.471,0.000,20.711,99.127
1.288,0.000,0.000,18.000,0.002,0.238,1.471,0.000,20.710,99.127
1.304,39.682,-75.757,18.000,0.002,0.238,1.471,0.000,20.710,99.127
1.319,39.682,-75.757,18.000,0.002,0.238,1.471,0.000,20.710,99.127
1.335,39.682,-75.757,18.000,0.002,0.238,1.470,0.000,20.710,99.127
1.352,39.682,-75.757,18.000,0.002,0.063,1.470,0.000,20.275,99.127
1.367,39.682,-75.757,18.000,0.002,0.063,1.470,0.000,20.275,99.127
1.385,0.000,0.000,18.000,0.002,0.063,1.470,0.000,20.275,99.127
1.399,0.000,0.000,18.000,0.002,0.063,1.470,0.000,20.275,99.127
1.415,39.682,-75.757,18.000,0.002,0.009,1.470,0.000,20.276,99.127
1.432,39.682,-75.757,18.000,0.002,0.009,1.470,0.000,20.276,99.127
1.450,39.682,-75.757,18.000,0.002,0.009,1.470,0.000,20.276,99.127
1.464,39.682,-75.757,18.000,0.002,0.009,1.470,0.000,20.276,99.127
1.480,39.682,-75.757,18.000,0.002,0.007,1.470,0.000,20.276,99.127
1.496,0.000,0.000,18.000,0.002,0.007,1.470,0.000,20.276,99.127
1.514,0.000,0.000,18.000,0.002,0.007,1.470,0.000,20.276,99.127
1.528,0.000,0.000,18.000,0.001,0.010,1.470,0.000,20.276,99.127
1.544,0.000,0.000,18.000,0.001,0.010,1.469,0.000,20.276,99.127
1.562,0.000,0.000,18.000,0.001,0.010,1.469,0.000,20.276,99.127
1.576,0.000,0.000,18.000,0.001,0.010,1.469,0.000,20.276,99.127
1.593,0.000,0.000,18.000,0.001,0.008,1.469,0.000,20.276,99.127
1.607,0.000,0.000,18.000,0.001,0.008,1.469,0.000,20.276,99.127
