TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
1.097,0.000,0.000,18.000,0.000,0.000,0.000,20.000,250.000,99.127
1.113,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.131,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.145,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.161,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.179,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.193,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.209,0.000,0.000,18.000,0.019,0.312,1.491,20.000,250.000,99.126
1.225,0.000,0.000,18.000,0.019,0.312,1.491,20.000,250.000,99.126
1.244,0.000,0.000,18.000,0.019,0.312,1.491,20.000,250.000,99.126
1.257,39.682,-75.757,17.999,0.000,0.332,1.491,20.000,250.000,99.126
1.273,39.682,-75.757,17.999,0.000,0.332,1.491,20.000,250.000,99.126
1.291,0.000,0.000,17.999,0.000,0.332,1.491,20.000,250.000,99.126
1.305,0.000,0.000,17.999,0.000,0.332,1.491,20.000,250.000,99.126
1.321,0.000,0.000,18.000,0.005,0.085,1.492,20.000,250.000,99.126
1.337,0.000,0.000,18.000,0.005,0.085,1.492,20.000,250.000,99.126
1.356,0.000,0.000,18.000,0.005,0.085,1.492,20.000,250.000,99.126
1.369,0.000,0.000,18.000,0.005,0.085,1.492,20.000,250.000,99.126
1.385,0.000,0.000,18.000,0.005,0.004,1.492,20.000,250.000,99.126
1.401,0.000,0.000,18.000,0.005,0.004,1.492,20.000,250.000,99.126
1.419,0.000,0.000,18.000,0.005,0.004,1.492,20.000,250.000,99.126
1.433,0.000,0.000,18.000,0.004,0.019,1.492,20.000,250.000,99.127
1.449,0.000,0.000,18.000,0.004,0.019,1.492,20.000,250.000,99.127
1.468,0.000,0.000,18.000,0.004,0.019,1.492,20.000,250.000,99.127
1.481,0.000,0.000,18.000,0.004,0.019,1.492,20.000,250.000,99.127
1.498,0.000,0.000,18.000,0.003,0.019,1.492,20.000,250.000,99.127
1.513,0.000,0.000,18.000,0.003,0.019,1.492,20.000,250.000,99.127
1.532,0.000,0.000,18.000,0.003,0.019,1.494,20.000,250.000,99.127
1.545,39.682,-75.757,18.000,0.002,0.016,1.494,20.000,250.000,99.127
1.561,0.000,0.000,18.000,0.002,0.016,1.494,20.000,250.000,99.127
1.579,0.000,0.000,18.000,0.002,0.016,1.494,20.000,250.000,99.127
1.593,0.000,0.000,18.000,0.002,0.016,1.494,20.000,250.000,99.127
1.609,0.000,0.000,18.000,0.001,0.011,1.494,20.000,250.000,99.127
1.625,0.000,0.000,18.000,0.001,0.011,1.494,20.000,250.000,99.127
1.643,0.000,0.000,18.000,0.001,0.011,1.494,20.000,250.000,99.127
1.657,0.000,0.000,18.000,0.001,0.011,1.494,20.000,250.000,99.127
1.673,39.682,-75.757,18.000,0.001,0.008,1.494,20.000,250.000,99.127
1.689,0.000,0.000,18.000,0.001,0.008,1.494,20.000,250.000,99.127
1.707,0.000,0.000,18.000,0.001,0.008,1.494,20.000,250.000,99.127
1.721,0.000,0.000,18.000,0.001,0.008,1.494,20.000,250.000,99.127
1.737,0.000,0.000,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.753,0.000,0.000,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.770,0.000,0.000,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.785,0.000,0.000,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.801,0.000,0.000,18.000,0.000,0.003,1.492,20.000,250.000,99.127
1.817,0.000,0.000,18.000,0.000,0.003,1.492,20.000,250.000,99.127
1.835,0.000,0.000,18.000,0.000,0.003,1.492,20.000,250.000,99.127
1.850,39.682,-75.757,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.864,39.682,-75.757,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.882,39.682,-75.757,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.896,0.000,0.000,18.000,0.000,0.005,1.492,20.000,250.000,99.127
1.912,0.000,0.000,18.000,0.000,0.000,1.492,20.000,250.000,99.127
1.928,0.000,0.000,18.000,0.000,0.000,1.492,20.000,250.000,99.127
1.947,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.960,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.976,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
1.994,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.012,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.025,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.041,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.057,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.073,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.090,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.105,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.123,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.137,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.153,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.169,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.185,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.201,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.218,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.235,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.249,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.265,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.281,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.299,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.313,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.330,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.347,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.361,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.377,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.393,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.411,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.425,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.441,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.457,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.476,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.489,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.505,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.521,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.538,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.553,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.569,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.588,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.601,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.617,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.633,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.652,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.665,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.681,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.697,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.716,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.729,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.745,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.761,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.777,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.793,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.809,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.827,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.841,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.857,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.872,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.891,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.904,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.920,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.936,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.952,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.968,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
2.984,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.004,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.017,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.033,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.049,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.067,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.081,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.097,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.116,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.129,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.145,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.161,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.179,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.193,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.209,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.225,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.243,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.257,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.273,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.292,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.305,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.322,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.337,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.355,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.369,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.387,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.401,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.419,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.433,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.449,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.465,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.482,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.497,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.513,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.531,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.545,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.561,39.682,-75.757,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.579,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.593,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.610,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
3.625,0.000,0.000,18.000,0.000,0.000,1.491,20.000,250.000,99.127
