index,x,y,z,latitude,longitude,altitude
21,54.76940155029297,47.81805419921875,236.43487548828125,42.30016385739475,-83.69861798348768,236.43487548828125
22,54.69258499145508,47.32972717285156,236.4523162841797,42.30016824414082,-83.69861891646819,236.4523162841797
23,54.61890411376953,46.83982849121094,236.47042846679688,42.30017264500512,-83.69861981136407,236.47042846679688
24,54.5496826171875,46.348453521728516,236.4875030517578,42.30017705913093,-83.69862065209826,236.4875030517578
25,54.48622512817383,45.85572052001953,236.5018310546875,42.30018148545591,-83.69862142282531,236.5018310546875
26,54.42727279663086,45.361820220947266,236.5133056640625,42.30018592226665,-83.69862213883468,236.5133056640625
27,54.34378433227539,44.417293548583984,236.52920532226562,42.30019440714844,-83.69862315284925,236.52920532226562
28,54.34378433227539,44.417293548583984,236.52920532226562,42.30019440714844,-83.69862315284925,236.52920532226562
29,54.33081817626953,43.917049407958984,236.53652954101562,42.30019890094633,-83.69862331033053,236.53652954101562
30,54.318260192871094,43.41680908203125,236.5438690185547,42.30020339470963,-83.69862346285434,236.5438690185547
31,54.306312561035156,42.91658020019531,236.55120849609375,42.30020788836981,-83.69862360796508,236.55120849609375
32,54.295169830322266,42.41636657714844,236.5585479736328,42.30021238189258,-83.69862374329983,236.5585479736328
33,54.28504180908203,41.91616439819336,236.56588745117188,42.30021687531223,-83.69862386631038,236.56588745117188
34,54.276119232177734,41.415977478027344,236.57322692871094,42.30022136859452,-83.69862397468012,236.57322692871094
35,54.26860809326172,40.91581344604492,236.58056640625,42.30022586167081,-83.69862406590714,236.58056640625
36,54.2627067565918,40.415672302246094,236.58790588378906,42.30023035454124,-83.69862413758221,236.58790588378906
37,54.25858688354492,39.91556167602539,236.59523010253906,42.300234847137176,-83.6986241876204,236.59523010253906
38,54.256263732910156,39.41547393798828,236.60256958007812,42.300239339527195,-83.69862421583638,236.60256958007812
39,54.25567626953125,38.915409088134766,236.60989379882812,42.30024383171127,-83.69862422297145,236.60989379882812
40,54.25676727294922,38.415374755859375,236.6172332763672,42.30024832362088,-83.69862420972059,236.6172332763672
41,54.25947570800781,37.91536331176758,236.6245574951172,42.30025281532454,-83.69862417682512,236.6245574951172
42,54.26374435424805,37.41537094116211,236.63189697265625,42.300257306856565,-83.69862412498,236.63189697265625
43,54.26951599121094,36.915401458740234,236.63922119140625,42.300261798182675,-83.69862405488021,236.63922119140625
44,54.27900314331055,36.27547073364258,236.63619995117188,42.300267546808186,-83.69862393965339,236.63619995117188
45,54.27900314331055,36.27547073364258,236.63619995117188,42.300267546808186,-83.69862393965339,236.63619995117188
46,54.28495407104492,35.77549362182617,236.6382293701172,42.30027203820208,-83.698623867376,236.6382293701172
47,54.28323745727539,35.275474548339844,236.63314819335938,42.30027652997262,-83.69862388822526,236.63314819335938
48,54.27461624145508,34.775535583496094,236.6261444091797,42.30028102102318,-83.69862399293478,236.6261444091797
49,54.25988006591797,34.2757568359375,236.6224365234375,42.300285510634154,-83.69862417191396,236.6224365234375
50,54.239776611328125,33.776187896728516,236.62454223632812,42.300289998360086,-83.69862441608178,236.62454223632812
